PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
Q741110162-4,163531.338,48172183.283991985,39.978204089695474,A,Z,AZ
6453918,162690.0,48334873.283991985,40.11322088943255,A,Y,AY
6605223,162171.50400000002,48497044.787991986,40.247807388164055,A,X,AX
TRK9261,161670.0,48658714.787991986,40.381977687589306,A,Z,AZ
3361253,160895.0,48819609.787991986,40.51550481275801,A,X,AX
6319131-2,160407.4,48980017.187991984,40.648627277581575,A,X,AX
Q74111021-2,159995.44,49140012.62799198,40.78140785586742,A,Y,AY
6300319,159402.32,49299414.94799198,40.913696202520974,A,X,AX
6453940,158578.0,49457992.94799198,41.04530044413819,A,Y,AY
quote dated 05/09/2025,158470.0,49616462.94799198,41.17681505631064,A,Z,AZ
Area #3,153692.0,49770154.94799198,41.30436439545374,A,Z,AZ
3371193,151107.4,49921262.34799198,41.42976876919884,A,X,AX
6603831,150963.855,50072226.20299198,41.555054014623096,A,X,AX
ROW PRODUCT DEVELOPMENT,150000.0,50222226.20299198,41.67953935459827,A,Z,AZ
Q744110042-2,149529.8288,50371756.03179198,41.80363449842893,A,X,AX
6454043-05,149230.15,50520986.181791976,41.927480938144235,A,Y,AY
6319063-5,147237.1,50668223.28179198,42.0496733411473,A,Y,AY
6440219,146739.27599999998,50814962.55779198,42.17145259888444,A,Z,AZ
3361633,142816.76,50957779.317791976,42.28997655170279,A,Y,AY
6605249,142756.36000000002,51100535.677791975,42.408450378424256,A,Z,AZ
TRK9296,142080.0,51242615.677791975,42.526362892448745,A,Z,AZ
6319063-7,141671.47,51384287.147791974,42.6439363665003,A,X,AX
TRK9251,140512.0,51524799.147791974,42.760547593770916,A,Z,AZ
TRK9252,140512.0,51665311.147791974,42.877158821041526,A,Z,AZ
6705402,140352.0,51805663.147791974,42.9936372639495,A,Y,AY
NPS3123,139847.4,51945510.54779197,43.1096969381738,A,X,AX
3371031,139835.9,52085346.44779197,43.22574706852203,A,Y,AY
6500459,139311.02,52224657.467791975,43.341361599768625,A,Y,AY
6604037,138845.0,52363502.467791975,43.45658937996098,A,X,AX
6319032-7,138350.84,52501853.30779198,43.571407055649324,A,Y,AY
Q744110066-3,137243.1546,52639096.46239198,43.68530546071364,A,X,AX
6603157,136419.1,52775515.56239198,43.798519980997696,A,Y,AY
NPS4870,136228.0,52911743.56239198,43.91157590695862,A,X,AX
TRK9283,135816.0,53047559.56239198,44.02428991318574,A,Z,AZ
6309377,135117.144,53182676.70639198,44.13642393723451,A,Y,AY
6604620-03,134362.09,53317038.79639199,44.24793134025735,A,Y,AY
TELEMATICS,133500.0,53450538.79639199,44.358723292835265,A,Z,AZ
6303348,133170.64,53583709.43639199,44.46924190880267,A,Y,AY
6602237,132727.375,53716436.81139199,44.57939265814193,A,Y,AY
6500456,131224.8,53847661.611391984,44.68829641708309,A,X,AX
3183016,130877.16,53978538.77139198,44.79691166880032,A,X,AX
3130817,128847.3,54107386.07139198,44.90384233510288,A,X,AX
6703473,128819.65000000001,54236205.721391976,45.01075005460777,A,X,AX
7051607,127782.2,54363987.92139198,45.11679679200628,A,X,AX
3371027,126970.8,54490958.721391976,45.22217014670574,A,X,AX
TRK9295,125031.0,54615989.721391976,45.32593365698865,A,Z,AZ
TRK9294,125031.0,54741020.721391976,45.42969716727156,A,Z,AZ
3371029,124510.1,54865530.82139198,45.53302838146385,A,X,AX
4014153,123185.55,54988716.371391974,45.635260348609044,A,Y,AY
6605186,122854.38,55111570.75139198,45.73721747702065,A,X,AX
TRK9259,122837.0,55234407.75139198,45.839160181730854,A,Z,AZ
