PartNum,StdDailyDemand,MeanDailyDemand,stddev_method,TransactionDays,LeadTimeDays,lead_time_source,ABC,safety_stock
0191603,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
02-00118,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0200625,0.75,0.004061738424045491,estimated,2,21.0,actual,C,5
0200688,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0201423,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0202214,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0203489,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0203594,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0204517,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0206150,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0206287,0.0,0.0016246953696181965,estimated,2,21.0,actual,C,0
0207883,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0207885,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0208364,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0208966,0.0,0.020308692120227456,estimated,1,21.0,actual,C,0
0209188,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0211948,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0211993,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0212336,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0212739,0.0,0.00487408610885459,estimated,1,21.0,actual,C,0
0215007,0.0,0.02924451665312754,estimated,1,21.0,actual,C,0
0215008,12.0,0.11697806661251016,estimated,2,21.0,actual,C,71
0215009,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0216205,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0217867,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0218240,1.5437905990524532,0.11941510966693746,empirical,9,21.0,actual,C,10
0218522484,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0218524580,0.5,0.00487408610885459,estimated,2,21.0,actual,C,3
0218627,1.5,0.011372867587327376,estimated,2,5.0,actual,C,5
0218857,0.7793449137455422,0.048740861088545896,empirical,6,45.0,actual,C,7
0219 504 411,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0219200,27.69155111933401,2.453290008123477,empirical,11,30.0,actual,C,195
0219309,3.447367520867465,0.338748984565394,empirical,13,45.0,actual,C,30
0219501,2.25,0.011372867587327376,estimated,4,45.0,actual,C,20
0219508,0.0,0.016246953696181964,estimated,1,30.0,actual,C,0
0219535,0.0,0.008123476848090982,estimated,1,45.0,actual,C,0
0219539,0.5,0.00487408610885459,estimated,2,30.0,actual,C,4
0219758,0.0,0.016246953696181964,estimated,1,30.0,actual,C,0
0219792,0.0,0.016246953696181964,estimated,1,30.0,actual,C,0
0220095,4.318264475750557,0.22745735174654752,empirical,5,5.0,actual,C,13
0220743,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0221282,0.5,0.003249390739236393,estimated,2,21.0,actual,C,3
0222284,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0222285,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0222959,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0222967,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0222977,0.0,0.00487408610885459,estimated,2,21.0,actual,C,0
