PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
08609,5.37,30.9,7.725,8.34,0.64,4.17,64.21,50,0.25
0865438,52.14,62.07,15.5175,18.33,2.84,9.16,284.14,50,0.25
0865531,365.0,31.811,7.9528,67.75,5.39,33.88,538.94,50,0.25
0867968,3650.0,10.626,2.6565,370.67,9.85,185.34,984.86,50,0.25
0870957,2190.0,28.404,7.101,175.62,12.47,87.81,1247.04,50,0.25
0872487,365.0,46.07,11.5175,56.29,6.48,28.14,648.1,50,0.25
08D452,1825.0,3.37,0.8425,465.42,3.92,232.71,392.06,50,0.25
0920689,365.0,959.86,239.965,12.33,29.6,6.16,2958.18,50,0.25
0951463,9125.0,0.5781,0.1445,2512.94,3.63,1256.47,363.06,50,0.25
0961783,18250.0,0.4663,0.1166,3956.24,4.61,1978.12,461.15,50,0.25
097175001,1460.0,16.5,4.125,188.13,7.76,94.06,776.0,50,0.25
0983725,9.61,53.205,13.3012,8.5,1.13,4.25,113.03,50,0.25
0U224071,730.0,700.49,175.1225,20.42,35.75,10.21,3575.5,50,0.25
1 - 1/2 TON HARRINGTON CUMALONG,365.0,729.11,182.2775,14.15,25.8,7.08,2580.52,50,0.25
1 / 4  TWIN T,365.0,1856.0,464.0,8.87,41.15,4.43,4113.02,50,0.25
1 TON GX CLAMP,20.28,419.735,104.9338,4.4,4.61,2.2,461.35,50,0.25
1 ¾ X 4 X 42,365.0,678.0,169.5,14.67,24.88,7.34,2488.13,50,0.25
1-1/2 TON CUMALONG,4.56,731.835,182.9588,1.58,2.89,0.79,289.04,50,0.25
1/16” x 48” x 72” Clear Lexan/Polycarbonate,730.0,59.35,14.8375,70.14,10.41,35.07,1040.85,50,0.25
1/2 OSB,21170.0,9.41,2.3525,948.63,22.32,474.32,2231.84,50,0.25
1/2 TON SHEET CLAMP,730.0,410.4,102.6,26.67,27.37,13.34,2737.18,50,0.25
1/2 TON SHEET PLATE,365.0,1433.0,358.25,10.09,36.17,5.04,3614.08,50,0.25
1/2-13 FHN Z 5,18250.0,0.0699,0.0175,10212.04,1.79,5106.02,178.86,50,0.25
1/4 ADOS,365.0,93.57,23.3925,39.5,9.24,19.75,924.0,50,0.25
1/4 DO 5/8 j hook x 3 ft,365.0,342.5,85.625,20.65,17.68,10.32,1767.65,50,0.25
1/4 DOJ X 2 FT.,365.0,257.0,64.25,23.83,15.32,11.92,1531.86,50,0.25
1/4 SO 5/8 J Hook x 3 ft,365.0,191.53,47.8825,27.61,13.22,13.8,1321.78,50,0.25
1/4 TWIN T,292000.0,2.32,0.58,7095.41,41.15,3547.7,4115.17,50,0.25
1/4X1/4,730.0,2.0,0.5,382.1,1.91,191.05,191.02,50,0.25
1/8” x 48” x 96” Clear Lexan/Polycarbonate,365.0,87.65,21.9125,40.81,8.94,20.4,894.02,50,0.25
10 P TO 00700-CU052,365.0,135.49,33.8725,32.83,11.12,16.42,1112.19,50,0.25
10 ply Gladiator,730.0,130.0,32.5,47.39,15.4,23.7,1540.25,50,0.25
10000088,71.04,18.56,4.64,39.13,1.82,19.57,181.8,50,0.25
10000171,365.0,0.0,0.0,,,,,50,0.25
10000175,365.0,0.0,0.0,,,,,50,0.25
10000176,365.0,0.0,0.0,,,,,50,0.25
10000184,365.0,0.0,0.0,,,,,50,0.25
10000310,18250.0,5.5,1.375,1152.07,15.84,576.04,1584.05,50,0.25
10000460,1460.0,9.31,2.3275,250.46,5.83,125.23,582.97,50,0.25
10000461,1460.0,13.15,3.2875,210.74,6.93,105.37,692.9,50,0.25
10000462,1460.0,7.75,1.9375,274.51,5.32,137.26,531.94,50,0.25
10000523,1884.51,0.47879999999999995,0.1197,1254.74,1.5,627.37,150.1,50,0.25
10000565,730.0,0.0,0.0,,,,,50,0.25
10000710,2190.0,43.42,10.855,142.04,15.42,71.02,1541.92,50,0.25
10000711,2190.0,34.96,8.74,158.29,13.84,79.14,1383.68,50,0.25
10000762,365.0,0.0,0.0,,,,,50,0.25
10000769,365.0,0.0,0.0,,,,,50,0.25
10000771,365.0,0.0,0.0,,,,,50,0.25
10000811,365.0,0.0,0.0,,,,,50,0.25
10000812,365.0,0.0,0.0,,,,,50,0.25
10001,365.0,11.49,2.8725,112.72,3.24,56.36,323.89,50,0.25
10001-05,365.0,124.34,31.085,34.27,10.65,17.14,1065.3,50,0.25
