PartNum,avg_daily_demand,lead_time_days,demand_during_lead_time,safety_stock,ROP,service_level,lead_time_source
0131577,0.0,5.0,0.0,0.0,0.0,0.95,historical
0135801,0.0,21.0,0.0,0.0,0.0,0.95,historical
0136038,0.0,21.0,0.0,0.0,0.0,0.95,historical
0136040,0.0,21.0,0.0,0.0,0.0,0.95,historical
0136041,0.0,21.0,0.0,0.0,0.0,0.95,historical
0136489,0.0,3.0,0.0,0.0,0.0,0.95,historical
0137156,0.0,5.0,0.0,0.0,0.0,0.95,historical
0137157,0.0,21.0,0.0,0.0,0.0,0.95,historical
01374253,0.0,21.0,0.0,0.0,0.0,0.95,historical
0137971,0.0,45.0,0.0,0.0,0.0,0.95,historical
0138561,0.0,30.0,0.0,0.0,0.0,0.95,historical
0139420,0.0,30.0,0.0,0.0,0.0,0.95,historical
0140807,0.0,45.0,0.0,0.0,0.0,0.95,historical
0142017,0.0,15.0,0.0,0.0,0.0,0.95,historical
0142155,0.0,5.0,0.0,0.0,0.0,0.95,historical
0142393,0.0,21.0,0.0,0.0,0.0,0.95,historical
0142394,0.0,21.0,0.0,0.0,0.0,0.95,historical
0142772,0.0,21.0,0.0,0.0,0.0,0.95,historical
0142834,0.0,0.0,0.0,0.0,0.0,0.95,historical
0144066,0.0,30.0,0.0,0.0,0.0,0.95,historical
0144069,0.0,30.0,0.0,0.0,0.0,0.95,historical
0144129,0.0,30.0,0.0,0.0,0.0,0.95,historical
0144215,0.0,30.0,0.0,0.0,0.0,0.95,historical
0144523,0.0,21.0,0.0,0.0,0.0,0.95,historical
0145815002,0.0,21.0,0.0,0.0,0.0,0.95,historical
0146152,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150217,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150225,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150228,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150653,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150863,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150875,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150876,0.0,21.0,0.0,0.0,0.0,0.95,historical
0150966,0.0,21.0,0.0,0.0,0.0,0.95,historical
0153148880,0.0,21.0,0.0,0.0,0.0,0.95,historical
0154465881,0.0,21.0,0.0,0.0,0.0,0.95,historical
0156449001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0158559,0.0,21.0,0.0,0.0,0.0,0.95,historical
015975,0.0,21.0,0.0,0.0,0.0,0.95,historical
0161812,0.0,21.0,0.0,0.0,0.0,0.95,historical
01705696,0.0,21.0,0.0,0.0,0.0,0.95,historical
0171503,0.0,21.0,0.0,0.0,0.0,0.95,historical
017398808040,0.0,21.0,0.0,0.0,0.0,0.95,historical
017894404,0.0,21.0,0.0,0.0,0.0,0.95,historical
0179097,0.0,30.0,0.0,0.0,0.0,0.95,historical
0179402,0.0,30.0,0.0,0.0,0.0,0.95,historical
0179892,0.0,5.0,0.0,0.0,0.0,0.95,historical
0180018,0.0,3.0,0.0,0.0,0.0,0.95,historical
0180021-CR,0.0,0.0,0.0,0.0,0.0,0.95,historical
0180079-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180080,0.0,5.0,0.0,0.0,0.0,0.95,historical
0180120-CR,0.0,5.0,0.0,0.0,0.0,0.95,historical
0180121-CR,0.0,0.0,0.0,0.0,0.0,0.95,historical
0180126-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180128-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180132-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180137-CR,0.0,5.0,0.0,0.0,0.0,0.95,historical
0180143,0.0,45.0,0.0,0.0,0.0,0.95,historical
0180175-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180179-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0180190-CR,0.0,5.0,0.0,0.0,0.0,0.95,historical
0181603,0.0,21.0,0.0,0.0,0.0,0.95,historical
0181700,0.0,0.0,0.0,0.0,0.0,0.95,historical
0186725,0.0,5.0,0.0,0.0,0.0,0.95,historical
0187394,0.0,30.0,0.0,0.0,0.0,0.95,historical
0187399,0.0,45.0,0.0,0.0,0.0,0.95,historical
0187406,0.0,45.0,0.0,0.0,0.0,0.95,historical
0189103,0.0,30.0,0.0,0.0,0.0,0.95,historical
0189304,0.0,45.0,0.0,0.0,0.0,0.95,historical
0189347,0.0,5.0,0.0,0.0,0.0,0.95,historical
0189777,0.0,45.0,0.0,0.0,0.0,0.95,historical
0191163-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0191603,0.0,21.0,0.0,0.0,0.0,0.95,historical
02-00118,0.0,21.0,0.0,0.0,0.0,0.95,historical
0200625,0.0,21.0,0.0,0.0,0.0,0.95,historical
0200688,0.0,21.0,0.0,0.0,0.0,0.95,historical
0201423,0.0,21.0,0.0,0.0,0.0,0.95,historical
0202214,0.0,21.0,0.0,0.0,0.0,0.95,historical
0203489,0.0,21.0,0.0,0.0,0.0,0.95,historical
0203594,0.0,21.0,0.0,0.0,0.0,0.95,historical
0204517,0.0,21.0,0.0,0.0,0.0,0.95,historical
0206150,0.0,21.0,0.0,0.0,0.0,0.95,historical
0206287,0.0,21.0,0.0,0.0,0.0,0.95,historical
0207883,0.0,21.0,0.0,0.0,0.0,0.95,historical
0207885,0.0,21.0,0.0,0.0,0.0,0.95,historical
0208364,0.0,21.0,0.0,0.0,0.0,0.95,historical
0208966,0.0,21.0,0.0,0.0,0.0,0.95,historical
0209188,0.0,21.0,0.0,0.0,0.0,0.95,historical
0211948,0.0,21.0,0.0,0.0,0.0,0.95,historical
0211993,0.0,21.0,0.0,0.0,0.0,0.95,historical
0212336,0.0,21.0,0.0,0.0,0.0,0.95,historical
0212739,0.0,21.0,0.0,0.0,0.0,0.95,historical
0215007,0.0,21.0,0.0,0.0,0.0,0.95,historical
0215008,0.0,21.0,0.0,0.0,0.0,0.95,historical
0215009,0.0,21.0,0.0,0.0,0.0,0.95,historical
0216205,0.0,21.0,0.0,0.0,0.0,0.95,historical
0217867,0.0,21.0,0.0,0.0,0.0,0.95,historical
0218240,0.0,21.0,0.0,0.0,0.0,0.95,historical
0218522484,0.0,21.0,0.0,0.0,0.0,0.95,historical
0218524580,0.0,21.0,0.0,0.0,0.0,0.95,historical
0218627,0.0,5.0,0.0,0.0,0.0,0.95,historical
0218857,0.0,45.0,0.0,0.0,0.0,0.95,historical
0219 504 411,0.0,21.0,0.0,0.0,0.0,0.95,historical
0219200,0.0,30.0,0.0,0.0,0.0,0.95,historical
0219309,0.0,45.0,0.0,0.0,0.0,0.95,historical
0219501,0.0,45.0,0.0,0.0,0.0,0.95,historical
0219508,0.0,30.0,0.0,0.0,0.0,0.95,historical
0219535,0.0,45.0,0.0,0.0,0.0,0.95,historical
0219539,0.0,30.0,0.0,0.0,0.0,0.95,historical
0219758,0.0,30.0,0.0,0.0,0.0,0.95,historical
0219792,0.0,30.0,0.0,0.0,0.0,0.95,historical
0220095,0.0,5.0,0.0,0.0,0.0,0.95,historical
0220743,0.0,21.0,0.0,0.0,0.0,0.95,historical
0221282,0.0,21.0,0.0,0.0,0.0,0.95,historical
0222284,0.0,21.0,0.0,0.0,0.0,0.95,historical
0222285,0.0,21.0,0.0,0.0,0.0,0.95,historical
0222959,0.0,21.0,0.0,0.0,0.0,0.95,historical
0222967,0.0,21.0,0.0,0.0,0.0,0.95,historical
0222977,0.0,21.0,0.0,0.0,0.0,0.95,historical
02233088,0.0,21.0,0.0,0.0,0.0,0.95,historical
0223439,0.0,5.0,0.0,0.0,0.0,0.95,historical
0223529,0.0,5.0,0.0,0.0,0.0,0.95,historical
0223562,0.0,30.0,0.0,0.0,0.0,0.95,historical
0223574,0.0,21.0,0.0,0.0,0.0,0.95,historical
0224613,0.0,21.0,0.0,0.0,0.0,0.95,historical
0224638,0.0,21.0,0.0,0.0,0.0,0.95,historical
0225733,0.0,21.0,0.0,0.0,0.0,0.95,historical
0225938,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226078,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226255,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226458,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226718,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226921,0.0,21.0,0.0,0.0,0.0,0.95,historical
0226927,0.0,21.0,0.0,0.0,0.0,0.95,historical
0227369,0.0,21.0,0.0,0.0,0.0,0.95,historical
0227597,0.0,21.0,0.0,0.0,0.0,0.95,historical
0227701,0.0,21.0,0.0,0.0,0.0,0.95,historical
0227798,0.0,21.0,0.0,0.0,0.0,0.95,historical
0228011,0.0,5.0,0.0,0.0,0.0,0.95,historical
0229834,0.0,21.0,0.0,0.0,0.0,0.95,historical
0229938,0.0,21.0,0.0,0.0,0.0,0.95,historical
023206,0.0,21.0,0.0,0.0,0.0,0.95,historical
0233336,0.0,21.0,0.0,0.0,0.0,0.95,historical
0233425,0.0,21.0,0.0,0.0,0.0,0.95,historical
0233519,0.0,21.0,0.0,0.0,0.0,0.95,historical
0233622,0.0,21.0,0.0,0.0,0.0,0.95,historical
0235230,0.0,21.0,0.0,0.0,0.0,0.95,historical
0236388,0.0,21.0,0.0,0.0,0.0,0.95,historical
0237639,0.0,21.0,0.0,0.0,0.0,0.95,historical
0237785,0.0,21.0,0.0,0.0,0.0,0.95,historical
0237789,0.0,21.0,0.0,0.0,0.0,0.95,historical
0238627,0.0,21.0,0.0,0.0,0.0,0.95,historical
0238636,0.0,21.0,0.0,0.0,0.0,0.95,historical
0243879,0.0,21.0,0.0,0.0,0.0,0.95,historical
0244307,0.0,21.0,0.0,0.0,0.0,0.95,historical
0244851,0.0,21.0,0.0,0.0,0.0,0.95,historical
0246070,0.0,21.0,0.0,0.0,0.0,0.95,historical
024674,0.0,21.0,0.0,0.0,0.0,0.95,historical
0247086,0.0,21.0,0.0,0.0,0.0,0.95,historical
024724,0.0,21.0,0.0,0.0,0.0,0.95,historical
024727,0.0,21.0,0.0,0.0,0.0,0.95,historical
024731,0.0,21.0,0.0,0.0,0.0,0.95,historical
024737,0.0,21.0,0.0,0.0,0.0,0.95,historical
0248013,0.0,21.0,0.0,0.0,0.0,0.95,historical
0249099,0.0,21.0,0.0,0.0,0.0,0.95,historical
0251298,0.0,21.0,0.0,0.0,0.0,0.95,historical
0253023,0.0,21.0,0.0,0.0,0.0,0.95,historical
0254028,0.0,21.0,0.0,0.0,0.0,0.95,historical
0254667,0.0,21.0,0.0,0.0,0.0,0.95,historical
0254SDSR41A-P,0.0,21.0,0.0,0.0,0.0,0.95,historical
0255547,0.0,21.0,0.0,0.0,0.0,0.95,historical
0255812,0.0,21.0,0.0,0.0,0.0,0.95,historical
02558230127,0.0,21.0,0.0,0.0,0.0,0.95,historical
02558230167,0.0,21.0,0.0,0.0,0.0,0.95,historical
02558240347,0.0,21.0,0.0,0.0,0.0,0.95,historical
0257878,0.0,21.0,0.0,0.0,0.0,0.95,historical
0257915,0.0,21.0,0.0,0.0,0.0,0.95,historical
0257994,0.0,21.0,0.0,0.0,0.0,0.95,historical
0258005,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259004,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259171,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259235,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259245,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259257,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259367,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259562,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259570,0.0,21.0,0.0,0.0,0.0,0.95,historical
0259578,0.0,21.0,0.0,0.0,0.0,0.95,historical
0265030,0.0,21.0,0.0,0.0,0.0,0.95,historical
0265095,0.0,21.0,0.0,0.0,0.0,0.95,historical
026627,0.0,21.0,0.0,0.0,0.0,0.95,historical
0267634,0.0,21.0,0.0,0.0,0.0,0.95,historical
0269150,0.0,21.0,0.0,0.0,0.0,0.95,historical
0271546,0.0,5.0,0.0,0.0,0.0,0.95,historical
0271547-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0271723-CR,0.0,30.0,0.0,0.0,0.0,0.95,historical
0271781,0.0,5.0,0.0,0.0,0.0,0.95,historical
0273469,0.0,30.0,0.0,0.0,0.0,0.95,historical
0274636,0.0,0.0,0.0,0.0,0.0,0.95,historical
027658,0.0,21.0,0.0,0.0,0.0,0.95,historical
0281832,0.0,21.0,0.0,0.0,0.0,0.95,historical
0282986,0.0,21.0,0.0,0.0,0.0,0.95,historical
028445,0.0,21.0,0.0,0.0,0.0,0.95,historical
0292528,0.0,21.0,0.0,0.0,0.0,0.95,historical
02964609,0.0,21.0,0.0,0.0,0.0,0.95,historical
0297641,0.0,21.0,0.0,0.0,0.0,0.95,historical
0297646,0.0,21.0,0.0,0.0,0.0,0.95,historical
0297654,0.0,21.0,0.0,0.0,0.0,0.95,historical
0301913,0.0,21.0,0.0,0.0,0.0,0.95,historical
0304XSSB41A-P,0.0,21.0,0.0,0.0,0.0,0.95,historical
0306481,0.0,21.0,0.0,0.0,0.0,0.95,historical
0306484,0.0,21.0,0.0,0.0,0.0,0.95,historical
03070522,0.0,21.0,0.0,0.0,0.0,0.95,historical
03084965,0.0,21.0,0.0,0.0,0.0,0.95,historical
0309298,0.0,21.0,0.0,0.0,0.0,0.95,historical
0310412,0.0,21.0,0.0,0.0,0.0,0.95,historical
03106393,0.0,21.0,0.0,0.0,0.0,0.95,historical
03106439,0.0,21.0,0.0,0.0,0.0,0.95,historical
0310765,0.0,21.0,0.0,0.0,0.0,0.95,historical
0312222,0.0,21.0,0.0,0.0,0.0,0.95,historical
0312223,0.0,21.0,0.0,0.0,0.0,0.95,historical
03126766,0.0,21.0,0.0,0.0,0.0,0.95,historical
03133485,0.0,21.0,0.0,0.0,0.0,0.95,historical
0316941,0.0,21.0,0.0,0.0,0.0,0.95,historical
0318596,0.0,21.0,0.0,0.0,0.0,0.95,historical
0318953,0.0,21.0,0.0,0.0,0.0,0.95,historical
0320751,0.0,21.0,0.0,0.0,0.0,0.95,historical
0322304,0.0,21.0,0.0,0.0,0.0,0.95,historical
0322603,0.0,21.0,0.0,0.0,0.0,0.95,historical
0323-0292,0.0,21.0,0.0,0.0,0.0,0.95,historical
0323419,0.0,21.0,0.0,0.0,0.0,0.95,historical
0323441,0.0,21.0,0.0,0.0,0.0,0.95,historical
0323974,0.0,21.0,0.0,0.0,0.0,0.95,historical
0324901,0.0,21.0,0.0,0.0,0.0,0.95,historical
0325374,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326751,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326753,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326759,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326796,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326799,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326801,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326803,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326811,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326813,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326912,0.0,21.0,0.0,0.0,0.0,0.95,historical
0326913,0.0,21.0,0.0,0.0,0.0,0.95,historical
0327980,0.0,21.0,0.0,0.0,0.0,0.95,historical
0330153,0.0,21.0,0.0,0.0,0.0,0.95,historical
0330166,0.0,21.0,0.0,0.0,0.0,0.95,historical
0332281001,0.0,21.0,0.0,0.0,0.0,0.95,historical
03322820001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0332282001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0332641000,0.0,21.0,0.0,0.0,0.0,0.95,historical
0333-0356,0.0,21.0,0.0,0.0,0.0,0.95,historical
0334 327 001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0334 328 001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0334 329 001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0334 330 880,0.0,21.0,0.0,0.0,0.0,0.95,historical
0338174,0.0,21.0,0.0,0.0,0.0,0.95,historical
0339720001,0.0,21.0,0.0,0.0,0.0,0.95,historical
034011,0.0,21.0,0.0,0.0,0.0,0.95,historical
034012,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342917,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342918,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342919,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342920,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342921,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342922,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342923,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342924,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342925,0.0,21.0,0.0,0.0,0.0,0.95,historical
0342926,0.0,21.0,0.0,0.0,0.0,0.95,historical
0343088,0.0,21.0,0.0,0.0,0.0,0.95,historical
0345837,0.0,21.0,0.0,0.0,0.0,0.95,historical
0345839,0.0,21.0,0.0,0.0,0.0,0.95,historical
0345841,0.0,21.0,0.0,0.0,0.0,0.95,historical
0345859,0.0,21.0,0.0,0.0,0.0,0.95,historical
0345901,0.0,21.0,0.0,0.0,0.0,0.95,historical
0346703,0.0,21.0,0.0,0.0,0.0,0.95,historical
03705554,0.0,21.0,0.0,0.0,0.0,0.95,historical
0382-0093,0.0,21.0,0.0,0.0,0.0,0.95,historical
03854800003,0.0,21.0,0.0,0.0,0.0,0.95,historical
03854800017,0.0,21.0,0.0,0.0,0.0,0.95,historical
03854800027,0.0,21.0,0.0,0.0,0.0,0.95,historical
0386147,0.0,21.0,0.0,0.0,0.0,0.95,historical
0386B003,0.0,21.0,0.0,0.0,0.0,0.95,historical
0391844022,0.0,21.0,0.0,0.0,0.0,0.95,historical
0397106,0.0,21.0,0.0,0.0,0.0,0.95,historical
0398411,0.0,21.0,0.0,0.0,0.0,0.95,historical
0398412,0.0,21.0,0.0,0.0,0.0,0.95,historical
04-0320-00,0.0,21.0,0.0,0.0,0.0,0.95,historical
04-G 203,0.0,21.0,0.0,0.0,0.0,0.95,historical
0402809,0.0,21.0,0.0,0.0,0.0,0.95,historical
04028832,0.0,21.0,0.0,0.0,0.0,0.95,historical
04028927,0.0,21.0,0.0,0.0,0.0,0.95,historical
04029026,0.0,21.0,0.0,0.0,0.0,0.95,historical
04032000,0.0,21.0,0.0,0.0,0.0,0.95,historical
04098U582671,0.0,21.0,0.0,0.0,0.0,0.95,historical
0415 499 001,0.0,21.0,0.0,0.0,0.0,0.95,historical
041712016071,0.0,21.0,0.0,0.0,0.0,0.95,historical
041722003071,0.0,21.0,0.0,0.0,0.0,0.95,historical
041723001071,0.0,21.0,0.0,0.0,0.0,0.95,historical
041802,0.0,21.0,0.0,0.0,0.0,0.95,historical
0418655,0.0,21.0,0.0,0.0,0.0,0.95,historical
041897,0.0,21.0,0.0,0.0,0.0,0.95,historical
041A3504,0.0,21.0,0.0,0.0,0.0,0.95,historical
0423802,0.0,21.0,0.0,0.0,0.0,0.95,historical
0423804,0.0,21.0,0.0,0.0,0.0,0.95,historical
0423807,0.0,21.0,0.0,0.0,0.0,0.95,historical
0423825,0.0,21.0,0.0,0.0,0.0,0.95,historical
0425562,0.0,21.0,0.0,0.0,0.0,0.95,historical
0425883,0.0,21.0,0.0,0.0,0.0,0.95,historical
0426897,0.0,30.0,0.0,0.0,0.0,0.95,historical
0426898,0.0,5.0,0.0,0.0,0.0,0.95,historical
0428211,0.0,0.0,0.0,0.0,0.0,0.95,historical
0428814,0.0,5.0,0.0,0.0,0.0,0.95,historical
0433851001,0.0,21.0,0.0,0.0,0.0,0.95,historical
0435507,0.0,5.0,0.0,0.0,0.0,0.95,historical
0436665-CR,0.0,0.0,0.0,0.0,0.0,0.95,historical
